#src_id	dest_id	edge_type	number_common_taxa	percent_common_taxa
7	12	2	2	0
15	7	2	1	0
7	17	2	2	0
7	19	2	2	0
7	20	2	2	0
7	23	2	2	0
7	27	2	2	0
7	29	2	2	0
7	31	2	2	0
7	33	2	2	0
7	37	2	2	0
7	44	2	2	0
7	47	2	2	0
7	51	2	2	0
7	54	2	2	0
7	56	2	2	0
7	64	2	2	0
7	65	2	2	0
7	73	2	2	0
77	7	2	1	0
7	80	2	2	0
7	85	2	2	0
7	86	2	2	0
7	92	2	2	0
101	7	2	1	0
7	109	2	2	0
7	111	2	2	0
7	114	2	2	0
7	116	2	2	0
7	119	2	2	0
7	127	2	2	0
132	7	2	1	0
7	133	2	2	0
7	139	2	2	0
7	145	2	2	0
7	149	2	2	0
7	151	2	2	0
7	153	2	2	0
7	161	2	2	0
7	163	2	2	0
7	165	2	2	0
7	168	2	2	0
7	169	2	2	0
7	172	2	2	0
7	175	2	2	0
7	177	2	2	0
7	181	2	2	0
7	184	2	2	0
7	187	2	2	0
7	188	2	2	0
7	191	2	2	0
7	193	2	2	0
7	196	2	2	0
7	203	2	2	0
7	205	2	2	0
7	208	2	2	0
7	209	2	2	0
7	211	2	2	0
7	218	2	2	0
7	219	2	2	0
7	221	2	2	0
7	223	2	2	0
7	226	2	2	0
7	227	2	2	0
15	8	2	1	0
21	8	2	2	0
30	8	2	1	0
60	8	2	2	0
61	8	2	2	0
8	65	2	9	0
77	8	2	1	0
81	8	2	1	0
87	8	2	2	0
89	8	2	2	0
101	8	2	1	0
132	8	2	1	0
134	8	2	1	0
143	8	2	3	0
8	149	2	9	0
8	153	2	9	0
162	8	2	1	0
8	184	2	9	0
8	188	2	9	0
204	8	2	2	0
212	8	2	2	0
8	219	2	9	0
8	223	2	9	0
9	20	2	12	0
39	9	2	1	0
66	9	2	2	0
71	9	2	1	0
79	9	2	2	0
9	86	2	12	0
90	9	2	2	0
91	9	2	1	0
96	9	2	4	0
104	9	2	2	0
106	9	2	2	0
9	133	2	12	0
135	9	2	1	0
9	142	2	12	0
147	9	2	1	0
150	9	2	1	0
154	9	2	1	0
158	9	2	1	0
185	9	2	4	0
189	9	2	9	0
9	211	2	12	0
220	9	2	3	0
224	9	2	2	0
16	10	2	2	0
18	10	2	12	0
21	10	2	2	0
10	22	2	13	0
10	24	2	13	0
32	10	2	4	0
39	10	2	1	0
52	10	2	7	0
57	10	2	4	0
10	59	2	13	0
60	10	2	2	0
61	10	2	2	0
62	10	2	3	0
63	10	2	3	0
66	10	2	2	0
71	10	2	1	0
81	10	2	1	0
87	10	2	2	0
90	10	2	2	0
91	10	2	1	0
94	10	2	5	0
95	10	2	3	0
96	10	2	4	0
106	10	2	2	0
115	10	2	4	0
120	10	2	5	0
126	10	2	4	0
10	133	2	13	0
135	10	2	1	0
10	142	2	13	0
146	10	2	6	0
147	10	2	1	0
148	10	2	10	0
150	10	2	1	0
154	10	2	1	0
157	10	2	6	0
158	10	2	1	0
159	10	2	8	0
10	176	2	13	0
185	10	2	4	0
186	10	2	7	0
204	10	2	2	0
207	10	2	5	0
220	10	2	3	0
224	10	2	2	0
11	17	2	4	0
11	19	2	4	0
11	20	2	4	0
11	31	2	4	0
11	36	2	4	0
11	51	2	4	0
11	58	2	4	0
11	64	2	4	0
11	65	2	4	0
11	86	2	4	0
11	111	2	4	0
11	116	2	4	0
11	119	2	4	0
11	127	2	4	0
11	133	2	4	0
11	136	2	4	0
11	149	2	4	0
11	153	2	4	0
11	161	2	4	0
11	171	2	4	0
11	176	2	4	0
11	179	2	4	0
11	184	2	4	0
11	187	2	4	0
11	208	2	4	0
11	211	2	4	0
11	214	2	4	0
11	215	2	4	0
11	218	2	4	0
11	219	2	4	0
11	223	2	4	0
11	227	2	4	0
15	12	2	1	0
12	17	2	4	0
12	19	2	4	0
12	20	2	4	0
12	27	2	4	0
30	12	2	1	0
12	31	2	4	0
44	12	2	3	0
47	12	2	3	0
12	64	2	4	0
12	65	2	4	0
77	12	2	1	0
12	85	2	4	0
12	86	2	4	0
12	92	2	4	0
101	12	2	1	0
109	12	2	3	0
12	114	2	4	0
12	116	2	4	0
12	119	2	4	0
12	127	2	4	0
132	12	2	1	0
134	12	2	1	0
12	145	2	4	0
12	149	2	4	0
12	151	2	4	0
12	153	2	4	0
162	12	2	1	0
12	163	2	4	0
12	165	2	4	0
12	168	2	4	0
12	172	2	4	0
177	12	2	3	0
12	181	2	4	0
12	184	2	4	0
12	187	2	4	0
12	193	2	4	0
12	203	2	4	0
12	205	2	4	0
12	208	2	4	0
12	219	2	4	0
12	221	2	4	0
12	223	2	4	0
12	226	2	4	0
16	13	2	2	0
21	13	2	2	0
13	22	2	12	0
32	13	2	4	0
39	13	2	1	0
52	13	2	7	0
57	13	2	4	0
60	13	2	2	0
61	13	2	2	0
62	13	2	3	0
63	13	2	3	0
66	13	2	2	0
71	13	2	1	0
78	13	2	4	0
81	13	2	1	0
82	13	2	3	0
84	13	2	5	0
87	13	2	2	0
91	13	2	1	0
93	13	2	4	0
94	13	2	5	0
95	13	2	3	0
96	13	2	4	0
106	13	2	2	0
13	111	2	12	0
113	13	2	9	0
115	13	2	4	0
120	13	2	5	0
126	13	2	4	0
13	133	2	12	0
135	13	2	1	0
147	13	2	1	0
13	149	2	12	0
154	13	2	1	0
158	13	2	1	0
164	13	2	4	0
13	176	2	12	0
204	13	2	2	0
222	13	2	7	0
14	17	2	8	0
14	20	2	8	0
30	14	2	1	0
14	31	2	8	0
14	65	2	8	0
14	85	2	8	0
14	86	2	8	0
14	92	2	8	0
112	14	2	2	0
14	114	2	8	0
14	116	2	8	0
14	119	2	8	0
14	127	2	8	0
134	14	2	1	0
150	14	2	1	0
14	153	2	8	0
162	14	2	1	0
14	165	2	8	0
14	182	2	8	0
14	221	2	8	0
15	17	2	1	0
15	19	2	1	0
15	20	2	1	0
15	23	2	1	0
15	24	2	1	0
15	27	2	1	0
15	29	2	1	0
15	31	2	1	0
15	33	2	1	0
15	36	2	1	0
15	37	2	1	0
15	40	2	1	0
15	44	2	1	0
15	47	2	1	0
15	49	2	1	0
15	51	2	1	0
15	54	2	1	0
15	56	2	1	0
15	64	2	1	0
15	65	2	1	0
15	70	2	1	0
15	73	2	1	0
15	80	2	1	0
15	85	2	1	0
15	86	2	1	0
15	89	2	1	0
15	92	2	1	0
15	99	2	1	0
15	103	2	1	0
15	109	2	1	0
15	111	2	1	0
15	114	2	1	0
15	116	2	1	0
15	117	2	1	0
15	119	2	1	0
15	122	2	1	0
15	124	2	1	0
15	125	2	1	0
15	127	2	1	0
15	128	2	1	0
15	133	2	1	0
15	137	2	1	0
15	139	2	1	0
15	141	2	1	0
15	143	2	1	0
15	145	2	1	0
15	149	2	1	0
15	151	2	1	0
15	153	2	1	0
15	156	2	1	0
15	161	2	1	0
15	163	2	1	0
15	165	2	1	0
15	167	2	1	0
15	168	2	1	0
15	169	2	1	0
15	172	2	1	0
15	175	2	1	0
15	177	2	1	0
15	178	2	1	0
15	181	2	1	0
15	183	2	1	0
15	184	2	1	0
15	187	2	1	0
15	188	2	1	0
15	191	2	1	0
15	193	2	1	0
15	195	2	1	0
15	196	2	1	0
15	199	2	1	0
15	200	2	1	0
15	203	2	1	0
15	205	2	1	0
15	208	2	1	0
15	209	2	1	0
15	211	2	1	0
15	213	2	1	0
15	216	2	1	0
15	218	2	1	0
15	219	2	1	0
15	221	2	1	0
15	223	2	1	0
15	226	2	1	0
15	227	2	1	0
16	18	2	2	0
16	20	2	2	0
16	22	2	2	0
16	24	2	2	0
16	26	2	2	0
16	28	2	2	0
16	33	2	2	0
16	42	2	2	0
16	45	2	2	0
16	48	2	2	0
16	50	2	2	0
16	52	2	2	0
16	55	2	2	0
16	58	2	2	0
16	59	2	2	0
16	67	2	2	0
16	69	2	2	0
16	80	2	2	0
16	86	2	2	0
16	111	2	2	0
16	117	2	2	0
16	133	2	2	0
16	136	2	2	0
16	140	2	2	0
16	142	2	2	0
16	148	2	2	0
16	149	2	2	0
16	153	2	2	0
16	155	2	2	0
158	16	2	1	0
16	173	2	2	0
16	176	2	2	0
16	184	2	2	0
16	186	2	2	0
16	190	2	2	0
16	192	2	2	0
16	194	2	2	0
16	200	2	2	0
16	202	2	2	0
16	209	2	2	0
16	211	2	2	0
16	213	2	2	0
16	215	2	2	0
16	217	2	2	0
16	219	2	2	0
16	221	2	2	0
16	223	2	2	0
16	225	2	2	0
16	227	2	2	0
19	17	2	9	0
21	17	2	2	0
23	17	2	4	0
25	17	2	3	0
27	17	2	14	0
29	17	2	6	0
30	17	2	1	0
34	17	2	6	0
39	17	2	1	0
43	17	2	4	0
44	17	2	3	0
46	17	2	5	0
47	17	2	3	0
49	17	2	6	0
51	17	2	11	0
53	17	2	10	0
54	17	2	4	0
56	17	2	7	0
63	17	2	3	0
64	17	2	14	0
68	17	2	2	0
70	17	2	6	0
71	17	2	1	0
75	17	2	3	0
77	17	2	1	0
78	17	2	4	0
81	17	2	1	0
82	17	2	3	0
83	17	2	4	0
87	17	2	2	0
88	17	2	5	0
89	17	2	2	0
90	17	2	2	0
91	17	2	1	0
95	17	2	3	0
97	17	2	7	0
98	17	2	5	0
100	17	2	4	0
101	17	2	1	0
103	17	2	3	0
109	17	2	3	0
110	17	2	4	0
112	17	2	2	0
118	17	2	9	0
125	17	2	7	0
132	17	2	1	0
134	17	2	1	0
135	17	2	1	0
137	17	2	9	0
141	17	2	10	0
143	17	2	3	0
147	17	2	1	0
150	17	2	1	0
154	17	2	1	0
156	17	2	4	0
162	17	2	1	0
168	17	2	8	0
174	17	2	7	0
175	17	2	4	0
177	17	2	3	0
185	17	2	4	0
187	17	2	14	0
191	17	2	7	0
193	17	2	8	0
195	17	2	6	0
201	17	2	7	0
203	17	2	14	0
206	17	2	4	0
210	17	2	10	0
212	17	2	2	0
214	17	2	10	0
216	17	2	5	0
218	17	2	13	0
220	17	2	3	0
222	17	2	7	0
224	17	2	2	0
226	17	2	8	0
228	17	2	8	0
21	18	2	2	0
18	22	2	12	0
18	24	2	12	0
39	18	2	1	0
52	18	2	7	0
57	18	2	4	0
18	59	2	12	0
60	18	2	2	0
61	18	2	2	0
62	18	2	3	0
63	18	2	3	0
66	18	2	2	0
71	18	2	1	0
81	18	2	1	0
90	18	2	2	0
91	18	2	1	0
94	18	2	5	0
96	18	2	4	0
106	18	2	2	0
115	18	2	4	0
126	18	2	4	0
18	133	2	12	0
135	18	2	1	0
18	142	2	12	0
146	18	2	6	0
147	18	2	1	0
148	18	2	10	0
150	18	2	1	0
154	18	2	1	0
157	18	2	6	0
158	18	2	1	0
159	18	2	8	0
18	176	2	12	0
185	18	2	4	0
186	18	2	7	0
204	18	2	2	0
207	18	2	5	0
18	211	2	12	0
220	18	2	3	0
224	18	2	2	0
18	225	2	12	0
19	20	2	9	0
23	19	2	4	0
25	19	2	3	0
30	19	2	1	0
44	19	2	3	0
47	19	2	3	0
54	19	2	4	0
19	64	2	9	0
19	65	2	9	0
68	19	2	2	0
77	19	2	1	0
101	19	2	1	0
103	19	2	3	0
109	19	2	3	0
19	116	2	9	0
19	127	2	9	0
132	19	2	1	0
134	19	2	1	0
143	19	2	3	0
19	149	2	9	0
19	153	2	9	0
162	19	2	1	0
175	19	2	4	0
177	19	2	3	0
19	184	2	9	0
19	187	2	9	0
19	208	2	9	0
212	19	2	2	0
19	219	2	9	0
19	223	2	9	0
226	19	2	8	0
23	20	2	4	0
25	20	2	3	0
26	20	2	7	0
29	20	2	6	0
30	20	2	1	0
32	20	2	4	0
38	20	2	9	0
39	20	2	1	0
